,rpm,t,id,iq,torque,motorpwr,accpwr,current,voltage,vout,vd,vq,phasepwr
353,3531,160,-150.0,203.3284885397142,114.84501353944407,42467.927153964585,47055.87496284165,190.14571129547005,247.47257029098233,138.71377897607096,-134.16407801686069,44.11194255149453,35684.63625329693
354,3541,160,-150.0,202.71127835265492,114.49639779553831,42458.92097373504,47045.8958157729,190.09388378015802,247.48754326015597,138.72242362385393,-134.1360161341152,44.222231466886484,35616.50376530916
355,3551,160,-150.0,202.09741529003833,114.1496725911959,42449.88766874755,47035.8866135707,190.0419082337863,247.50255899550274,138.73109296269845,-134.10786973476473,44.33256145149535,35548.82463499137
356,3561,160,-150.0,201.48687108328642,113.80482195961726,42440.827224174456,47025.84733980549,189.9897846397268,247.51761750182652,138.7397869953781,-134.07963877260852,44.44293215846568,35481.59491214525
357,3571,160,-150.0,200.87961778021202,113.46183011270826,42431.73962513417,47015.77797798801,189.93751298124153,247.53271878396293,138.74850572468466,-134.0513232012779,44.55334324482414,35414.810691118706
358,3581,160,-150.0,200.27562774060078,113.12068143858484,42422.62485669113,47005.678511569124,189.88509324148274,247.54786284677925,138.7572491534283,-134.02292297423585,44.66379437142529,35348.46811018468
359,3591,160,-150.0,199.67487363186677,112.78136049911915,42413.48290385565,46995.54892393978,189.83252540349142,247.56304969517493,138.76601728443765,-133.9944380447768,44.7742852028983,35282.56335093049
360,3601,160,-150.0,199.07732842478063,112.44385202752672,42404.31375158383,46985.38919843084,189.7798094501969,247.5782793340817,138.77481012056015,-133.9658683660263,44.88481540759452,35217.092637657195
361,3611,160,-150.0,198.4829653892683,112.10814092599345,42395.11738477739,46975.1993183129,189.72694536441682,247.59355176846358,138.7836276646617,-133.9372138909404,44.995384657535965,35152.052236788935
362,3621,160,-150.0,197.89175809027978,111.77421226334228,42385.893788283596,46964.97926679623,189.67393312885608,247.60886700331707,138.79246991962708,-133.90847457230544,45.105992628364554,35087.438456292126
363,3631,160,-150.0,197.30368038372603,111.44205127273806,42376.642946895096,46954.729027030575,189.62077272610628,247.6242250436715,138.8013368883599,-133.87965036273772,45.216638999292314,35023.24764510415
364,3641,160,-150.0,196.71870641248293,111.11164334943068,42367.3648453499,46944.44858210516,189.56746413864485,247.63962589458913,138.81022857378298,-133.85074121468318,45.327323453052344,34959.47619257167
365,3651,160,-150.0,196.13677560679756,110.78295428210943,42358.051910604634,46934.12954083616,189.51414157688637,247.6550307826811,138.81912259006972,-133.8217235316947,45.43804524645376,34896.11105929005
366,3661,160,-150.0,195.55796765873615,110.45602908284563,42348.726800466844,46923.79700882753,189.46040233892563,247.670556048528,138.82808610648564,-133.7926679120418,45.54880535731822,34833.17711959832
367,3671,160,-150.0,194.98211653746606,110.13077397327426,42339.35900384234,46913.41717877269,189.40678794214264,247.6860452477586,138.837028799831,-133.76347928781263,45.659601748447415,34770.63272960597
368,3681,160,-150.0,194.40934056358202,109.80725578382521,42329.979530439494,46903.02441045928,189.3527475872191,247.70165750629602,138.8460425415002,-133.73425428052465,45.77043587163504,34708.513139553084
369,3691,160,-150.0,193.83950718423168,109.48539964533366,42320.56489725688,46892.59268394115,189.29869780933737,247.71727248712605,138.8550578548858,-133.70491972073035,45.881306100457586,34646.78569663525
370,3701,160,-150.0,193.27262820803884,109.16521222760554,42311.12291118969,46882.13064951766,189.24449973918473,247.73293030959312,138.8640979029021,-133.67549993352324,45.992212579806875,34585.45676672156
371,3711,160,-150.0,192.70867968010128,108.84668000031321,42301.653556589554,46871.63828984992,189.1901533584244,247.7486309789948,138.87316268860764,-133.64599487014547,46.103155015756265,34524.523007044154
372,3721,160,-150.0,192.14763790277394,108.52978957843429,42292.15681775239,46861.11558753728,189.13565864860092,247.7643745006628,138.88225221508063,-133.61640448166548,46.21413311753563,34463.981111067216
373,3731,160,-150.0,191.58947943222122,108.21452772030436,42282.63267891836,46850.5625251173,189.08101559113948,247.7801608799634,138.89136648541938,-133.586728718978,46.32514659748912,34403.8278080023
374,3741,160,-150.0,191.0341412245894,107.9008588171787,42273.072305951064,46839.969314073205,189.026380378262,247.7959449929637,138.900479447309,-133.55694005626273,46.43619468206866,34344.04908790415
375,3751,160,-150.0,190.48171988483992,107.58883743395471,42263.502137940275,46829.36524979532,188.97128435840153,247.8118622331014,138.90966927018727,-133.52712087368718,46.547278556617115,34284.674073335744
376,3761,160,-150.0,189.93207315912122,107.27838322210064,42253.895703996364,46818.72100165803,188.9161961453723,247.82777721784555,138.91885779091345,-133.49718869200024,46.65839647567972,34225.6672746376
377,3771,160,-150.0,189.38521843587816,106.96950600304488,42244.2618064555,46808.046322942384,188.86095950919815,247.84373508203626,138.92807106809965,-133.46717093793762,46.769548652612706,34167.03633374173
378,3781,160,-150.0,188.8411334904992,106.66219322377121,42234.60042927687,46797.34119587466,188.80557443069736,247.85973583121518,138.93730910494534,-133.43706756151872,46.88073481472008,34108.7781515899
379,3791,160,-150.0,188.29975352145092,106.3564082827535,42224.901956258225,46786.594965383076,188.75021070019397,247.87573041295755,138.94654358101988,-133.40684860012522,46.991954166887034,34050.87809176074
380,3801,160,-150.0,187.76118520303748,106.05221143230565,42215.19517156017,46775.83952527443,188.69435886937134,247.89186600688222,138.9558594705158,-133.37660374080755,47.10320801800728,33993.36783183326
381,3811,160,-150.0,187.2252785706845,105.74951796868687,42205.45125865718,46765.04294588054,188.63852834756366,247.90799544463243,138.96517180574278,-133.34624319567112,47.21449452801549,33936.20965936638
382,3821,160,-150.0,186.69205512963592,105.4483400385966,42195.67980138631,46754.21584641143,188.58254930546286,247.9241677898954,138.97450891363377,-133.31579682648922,47.325813960781,33879.412175072874
383,3831,160,-150.0,186.1614937961734,105.14866573342364,42185.880783422625,46743.35820877853,188.5264217232642,247.94038304839256,138.9838707974921,-133.28526458239577,47.43716605760658,33822.97244060897
384,3841,160,-150.0,185.63357370589202,104.85048326843047,42176.05418838403,46732.47001482995,188.47014558103632,247.95664122588224,138.9932574606423,-133.25464641234672,47.54855056248601,33766.88754852709
385,3851,160,-150.0,185.10827421085136,104.55378098114412,42166.19999983097,46721.55124635011,188.4137208587207,247.9729423281592,139.00266890643,-133.223942265119,47.65996722206904,33711.15462187493
386,3861,160,-150.0,184.58557487677274,104.25854732977317,42156.31820126657,46710.60188505992,188.3571475361309,247.9892863610554,139.01210513822224,-133.19315208931073,47.77141578562708,33655.77081380143
387,3871,160,-150.0,184.06540750408067,103.96474379349236,42146.397790780924,46699.60974047748,188.30061943943645,248.00561732819043,139.02153382649377,-133.1622416046502,47.88289541635132,33600.72034901118
388,3881,160,-150.0,183.54789600617244,103.67244036168636,42136.47170782766,46688.611310612374,188.24355500873898,248.02210324221892,139.03105197339596,-133.1313134454465,47.994407634659154,33546.03931416788
389,3891,160,-150.0,183.03287664476835,103.38154455088129,42126.506979670645,46677.5700605769,188.1865357629184,248.0385761023365,139.04056258361916,-133.1002648736874,48.10595043148191,33491.68607594668
390,3901,160,-150.0,182.5203277314849,103.09204411093597,42116.50302412463,46666.48534529046,188.1295714729039,248.05503308572167,139.05006402740665,-133.0690940753724,48.217523540703105,33437.65734501763
391,3911,160,-150.0,182.01038003308457,102.804012902187,42106.49447684037,46655.395542205406,188.07205120350304,248.07165069155155,139.05965820660583,-133.03790896990208,48.32912856683091,33383.99097098111
392,3921,160,-150.0,181.5028641674568,102.51735525338378,42096.44666853613,46644.26223660514,188.01458584810408,248.08825243272636,139.0692432263421,-133.0066015330869,48.44076343154683,33330.64372799373
393,3931,160,-150.0,180.99781117876427,102.23208869904552,42086.371133121225,46633.09820844457,187.95697174748736,248.1048971463945,139.078853056259,-132.97520770282756,48.55242851576274,33277.626486586334
394,3941,160,-150.0,180.49520224613474,101.94820260867306,42076.26785363402,46621.903438929665,187.89920888041885,248.12158483869058,139.08848769989828,-132.9437274262743,48.66412358854657,33224.93662722953
395,3951,160,-150.0,179.99501873898805,101.66568645924893,42066.13681305426,46610.677909201404,187.84129722553027,248.13831551578792,139.09814716082417,-132.91216065039453,48.77584842130105,33172.571557207775
396,3961,160,-150.0,179.49718774053008,101.3844990655449,42055.965231089074,46599.40745827044,187.78346135711266,248.15502429817377,139.10779398083247,-132.88046755374666,48.887602119337146,33120.514007363076
397,3971,160,-150.0,179.00185441590006,101.10472242046075,42045.79138024146,46588.134493342346,187.7250274661457,248.1719058492741,139.1175405489046,-132.8487673876075,48.999386463831115,33068.80554635292
