          s         mph       hp
          16.50     7.20      1.31      
          16.51     7.21      1.32      
          N/A       7.22      N/A       
          N/A       7.23      N/A       
          16.52     7.24      1.35      
          16.53     7.25      1.36      
          N/A       7.26      N/A       
          N/A       7.27      N/A       
          N/A       7.28      N/A       
          16.54     7.29      1.41      
          16.55     7.30      1.42      
          N/A       7.31      N/A       
          N/A       7.32      N/A       
          16.56     7.33      1.46      
          16.57     7.34      1.48      
          N/A       7.35      N/A       
          N/A       7.36      N/A       
          N/A       7.37      N/A       
          16.58     7.38      1.53      
          16.59     7.39      1.55      
          N/A       7.40      N/A       
          N/A       7.41      N/A       
          16.60     7.42      1.59      
          16.60     7.43      1.61      
          N/A       7.44      N/A       
          N/A       7.45      N/A       
          N/A       7.46      N/A       
          16.62     7.47      1.67      
          16.63     7.48      1.68      
          N/A       7.49      N/A       
          N/A       7.50      N/A       
          N/A       7.51      N/A       
          16.64     7.52      1.75      
          16.65     7.53      1.76      
          N/A       7.54      N/A       
          N/A       7.55      N/A       
          16.66     7.56      1.81      
          16.67     7.57      1.83      
          N/A       7.58      N/A       
          N/A       7.59      N/A       
          N/A       7.60      N/A       
          16.68     7.61      1.90      
          16.69     7.62      1.91      
          N/A       7.63      N/A       
          N/A       7.64      N/A       
          16.70     7.65      1.96      
          16.71     7.66      1.98      
          N/A       7.67      N/A       
          N/A       7.68      N/A       
          N/A       7.69      N/A       
          16.72     7.70      2.05      
          16.73     7.71      2.07      
          N/A       7.72      N/A       
          N/A       7.73      N/A       
          16.74     7.74      2.12      
          16.74     7.75      2.13      
          N/A       7.76      N/A       
          N/A       7.77      N/A       
          N/A       7.78      N/A       
          N/A       7.79      N/A       
          N/A       7.80      N/A       
          N/A       7.81      N/A       
          N/A       7.82      N/A       
          16.76     7.83      2.21      
          16.76     7.84      2.22      
          N/A       7.85      N/A       
          N/A       7.86      N/A       
          N/A       7.87      N/A       
          N/A       7.88      N/A       
          N/A       7.89      N/A       
          N/A       7.90      N/A       
          N/A       7.91      N/A       
          16.78     7.92      2.30      
          16.78     7.93      2.31      
          N/A       7.94      N/A       
          N/A       7.95      N/A       
          N/A       7.96      N/A       
          N/A       7.97      N/A       
          N/A       7.98      N/A       
          N/A       7.99      N/A       
          N/A       8.00      N/A       
          16.80     8.01      2.39      
          16.80     8.02      2.40      
          N/A       8.03      N/A       
          N/A       8.04      N/A       
          N/A       8.05      N/A       
          N/A       8.06      N/A       
          N/A       8.07      N/A       
          N/A       8.08      N/A       
          N/A       8.09      N/A       
          16.82     8.10      2.48      
          16.82     8.11      2.49      
          N/A       8.12      N/A       
          N/A       8.13      N/A       
          N/A       8.14      N/A       
          N/A       8.15      N/A       
          N/A       8.16      N/A       
          N/A       8.17      N/A       
          N/A       8.18      N/A       
          16.84     8.19      2.58      
          16.84     8.20      2.59      
          N/A       8.21      N/A       
          N/A       8.22      N/A       
          N/A       8.23      N/A       
          N/A       8.24      N/A       
          N/A       8.25      N/A       
          N/A       8.26      N/A       
          N/A       8.27      N/A       
          N/A       8.28      N/A       
          16.86     8.29      2.68      
          16.86     8.30      2.70      
          N/A       8.31      N/A       
          N/A       8.32      N/A       
          N/A       8.33      N/A       
          N/A       8.34      N/A       
          N/A       8.35      N/A       
          N/A       8.36      N/A       
          N/A       8.37      N/A       
          16.88     8.38      2.78      
          16.88     8.39      2.79      
          N/A       8.40      N/A       
          N/A       8.41      N/A       
          N/A       8.42      N/A       
          N/A       8.43      N/A       
          N/A       8.44      N/A       
          N/A       8.45      N/A       
          N/A       8.46      N/A       
          16.90     8.47      2.88      
          16.90     8.48      2.89      
          N/A       8.49      N/A       
          N/A       8.50      N/A       
          N/A       8.51      N/A       
          N/A       8.52      N/A       
          N/A       8.53      N/A       
          N/A       8.54      N/A       
          N/A       8.55      N/A       
          16.92     8.56      2.98      
          16.92     8.57      2.99      
          N/A       8.58      N/A       
          N/A       8.59      N/A       
          N/A       8.60      N/A       
          N/A       8.61      N/A       
          N/A       8.62      N/A       
          N/A       8.63      N/A       
          N/A       8.64      N/A       
          16.94     8.65      3.07      
          16.94     8.66      3.08      
          N/A       8.67      N/A       
          N/A       8.68      N/A       
          N/A       8.69      N/A       
          N/A       8.70      N/A       
          N/A       8.71      N/A       
          N/A       8.72      N/A       
          N/A       8.73      N/A       
          16.96     8.74      3.17      
          16.96     8.75      3.18      
          N/A       8.76      N/A       
          N/A       8.77      N/A       
          N/A       8.78      N/A       
          N/A       8.79      N/A       
          N/A       8.80      N/A       
          N/A       8.81      N/A       
          N/A       8.82      N/A       
          16.98     8.83      3.26      
          16.98     8.84      3.27      
          N/A       8.85      N/A       
          N/A       8.86      N/A       
          N/A       8.87      N/A       
          N/A       8.88      N/A       
          N/A       8.89      N/A       
          N/A       8.90      N/A       
          N/A       8.91      N/A       
          17.00     8.92      3.35      
          17.00     8.93      3.36      
          N/A       8.94      N/A       
          N/A       8.95      N/A       
          N/A       8.96      N/A       
          N/A       8.97      N/A       
          N/A       8.98      N/A       
          N/A       8.99      N/A       
          N/A       9.00      N/A       
          17.02     9.01      3.44      
          17.02     9.02      3.45      
          N/A       9.03      N/A       
          N/A       9.04      N/A       
          N/A       9.05      N/A       
          N/A       9.06      N/A       
          N/A       9.07      N/A       
          N/A       9.08      N/A       
          N/A       9.09      N/A       
          17.04     9.10      3.53      
          17.04     9.11      3.54      
          N/A       9.12      N/A       
          N/A       9.13      N/A       
          N/A       9.14      N/A       
          N/A       9.15      N/A       
          N/A       9.16      N/A       
          N/A       9.17      N/A       
          N/A       9.18      N/A       
          17.06     9.19      3.63      
          17.06     9.20      3.64      
          N/A       9.21      N/A       
          N/A       9.22      N/A       
          N/A       9.23      N/A       
          N/A       9.24      N/A       
          N/A       9.25      N/A       
          N/A       9.26      N/A       
          N/A       9.27      N/A       
          17.08     9.28      3.72      
          17.08     9.29      3.73      
          N/A       9.30      N/A       
          N/A       9.31      N/A       
          N/A       9.32      N/A       
          N/A       9.33      N/A       
          N/A       9.34      N/A       
          N/A       9.35      N/A       
          N/A       9.36      N/A       
          17.10     9.37      3.82      
          17.10     9.38      3.83      
          N/A       9.39      N/A       
          N/A       9.40      N/A       
          N/A       9.41      N/A       
          N/A       9.42      N/A       
          N/A       9.43      N/A       
          N/A       9.44      N/A       
          N/A       9.45      N/A       
          N/A       9.46      N/A       
          17.12     9.47      3.92      
          17.12     9.48      3.93      
          N/A       9.49      N/A       
          N/A       9.50      N/A       
          N/A       9.51      N/A       
          N/A       9.52      N/A       
          N/A       9.53      N/A       
          N/A       9.54      N/A       
          N/A       9.55      N/A       
          N/A       9.56      N/A       
          N/A       9.57      N/A       
          N/A       9.58      N/A       
          17.14     9.59      4.03      
          17.14     9.60      4.04      
          N/A       9.61      N/A       
          N/A       9.62      N/A       
          N/A       9.63      N/A       
          N/A       9.64      N/A       
          N/A       9.65      N/A       
          N/A       9.66      N/A       
          N/A       9.67      N/A       
          N/A       9.68      N/A       
          N/A       9.69      N/A       
          N/A       9.70      N/A       
          17.16     9.71      4.14      
          17.16     9.72      4.15      
          N/A       9.73      N/A       
          N/A       9.74      N/A       
          N/A       9.75      N/A       
          N/A       9.76      N/A       
          N/A       9.77      N/A       
          N/A       9.78      N/A       
          N/A       9.79      N/A       
          N/A       9.80      N/A       
          N/A       9.81      N/A       
          N/A       9.82      N/A       
          17.18     9.83      4.25      
          17.18     9.84      4.26      
          N/A       9.85      N/A       
          N/A       9.86      N/A       
          N/A       9.87      N/A       
          N/A       9.88      N/A       
          N/A       9.89      N/A       
          N/A       9.90      N/A       
          N/A       9.91      N/A       
          N/A       9.92      N/A       
          N/A       9.93      N/A       
          N/A       9.94      N/A       
          17.20     9.95      4.37      
          17.20     9.96      4.38      
          N/A       9.97      N/A       
          N/A       9.98      N/A       
          N/A       9.99      N/A       
          N/A       10.00     N/A       
          N/A       10.01     N/A       
          N/A       10.02     N/A       
          N/A       10.03     N/A       
          N/A       10.04     N/A       
          N/A       10.05     N/A       
          17.22     10.06     4.47      
          17.22     10.07     4.48      
          N/A       10.08     N/A       
          N/A       10.09     N/A       
          N/A       10.10     N/A       
          N/A       10.11     N/A       
          N/A       10.12     N/A       
          N/A       10.13     N/A       
          N/A       10.14     N/A       
          N/A       10.15     N/A       
          N/A       10.16     N/A       
          N/A       10.17     N/A       
          17.24     10.18     4.58      
          17.24     10.19     4.59      
          N/A       10.20     N/A       
          N/A       10.21     N/A       
          N/A       10.22     N/A       
          N/A       10.23     N/A       
          N/A       10.24     N/A       
          N/A       10.25     N/A       
          N/A       10.26     N/A       
          N/A       10.27     N/A       
          N/A       10.28     N/A       
          N/A       10.29     N/A       
          17.26     10.30     4.68      
          17.26     10.31     4.69      
          N/A       10.32     N/A       
          N/A       10.33     N/A       
          N/A       10.34     N/A       
          N/A       10.35     N/A       
          N/A       10.36     N/A       
          N/A       10.37     N/A       
          N/A       10.38     N/A       
          N/A       10.39     N/A       
          N/A       10.40     N/A       
          N/A       10.41     N/A       
          17.28     10.42     4.78      
          17.28     10.43     4.79      
          N/A       10.44     N/A       
          N/A       10.45     N/A       
          N/A       10.46     N/A       
          N/A       10.47     N/A       
          N/A       10.48     N/A       
          N/A       10.49     N/A       
          N/A       10.50     N/A       
          N/A       10.51     N/A       
